Time,Refuel_time,EDC,Cycle,value
59.733333333333334,50min,50mM,01,0.055199999999999985
59.9,50min,50mM,01,0.055099999999999996
60.06666666666666,50min,50mM,01,0.055099999999999996
60.233333333333334,50min,50mM,01,0.05539999999999999
60.4,50min,50mM,01,0.055099999999999996
60.56666666666666,50min,50mM,01,0.055199999999999985
60.733333333333334,50min,50mM,01,0.055199999999999985
60.9,50min,50mM,01,0.05500000000000001
61.06666666666666,50min,50mM,01,0.055099999999999996
61.233333333333334,50min,50mM,01,0.05500000000000001
61.4,50min,50mM,01,0.055199999999999985
61.56666666666666,50min,50mM,01,0.05539999999999999
61.733333333333334,50min,50mM,01,0.05589999999999999
61.9,50min,50mM,01,0.0553
62.05,50min,50mM,01,0.055699999999999986
62.21666666666667,50min,50mM,01,0.0553
62.38333333333333,50min,50mM,01,0.05500000000000001
62.55,50min,50mM,01,0.05500000000000001
62.71666666666667,50min,50mM,01,0.055199999999999985
62.88333333333333,50min,50mM,01,0.055099999999999996
63.05,50min,50mM,01,0.055199999999999985
63.21666666666667,50min,50mM,01,0.055099999999999996
63.38333333333333,50min,50mM,01,0.055099999999999996
63.55,50min,50mM,01,0.055199999999999985
63.71666666666667,50min,50mM,01,0.05539999999999999
63.86666666666667,50min,50mM,01,0.055099999999999996
64.03333333333333,50min,50mM,01,0.05500000000000001
64.2,50min,50mM,01,0.055199999999999985
64.36666666666667,50min,50mM,01,0.055199999999999985
64.53333333333333,50min,50mM,01,0.0553
64.7,50min,50mM,01,0.05550000000000001
64.86666666666667,50min,50mM,01,0.05539999999999999
65.03333333333333,50min,50mM,01,0.055199999999999985
65.2,50min,50mM,01,0.05500000000000001
65.36666666666667,50min,50mM,01,0.05539999999999999
65.53333333333333,50min,50mM,01,0.055099999999999996
65.7,50min,50mM,01,0.054699999999999985
65.86666666666667,50min,50mM,01,0.0556
66.01666666666667,50min,50mM,01,0.055099999999999996
66.18333333333334,50min,50mM,01,0.0553
66.35,50min,50mM,01,0.05589999999999999
66.51666666666667,50min,50mM,01,0.05539999999999999
66.68333333333334,50min,50mM,01,0.055099999999999996
66.85,50min,50mM,01,0.0553
67.01666666666667,50min,50mM,01,0.05589999999999999
67.18333333333334,50min,50mM,01,0.0561
67.35,50min,50mM,01,0.0558
67.51666666666667,50min,50mM,01,0.0556
67.68333333333334,50min,50mM,01,0.05550000000000001
67.85,50min,50mM,01,0.05550000000000001
68.0,50min,50mM,01,0.055699999999999986
68.16666666666667,50min,50mM,01,0.0556
68.33333333333333,50min,50mM,01,0.05589999999999999
68.5,50min,50mM,01,0.0556
68.66666666666667,50min,50mM,01,0.055699999999999986
68.83333333333333,50min,50mM,01,0.0558
69.0,50min,50mM,01,0.0558
69.16666666666667,50min,50mM,01,0.055699999999999986
69.33333333333333,50min,50mM,01,0.0558
69.5,50min,50mM,01,0.0558
69.66666666666667,50min,50mM,01,0.05589999999999999
69.83333333333333,50min,50mM,01,0.05589999999999999
69.98333333333333,50min,50mM,01,0.0558
70.15,50min,50mM,01,0.05589999999999999
70.31666666666666,50min,50mM,01,0.05589999999999999
70.48333333333333,50min,50mM,01,0.05589999999999999
70.65,50min,50mM,01,0.05589999999999999
70.81666666666666,50min,50mM,01,0.05600000000000001
70.98333333333333,50min,50mM,01,0.05589999999999999
71.15,50min,50mM,01,0.055699999999999986
71.31666666666666,50min,50mM,01,0.0561
71.48333333333333,50min,50mM,01,0.05600000000000001
71.63333333333333,50min,50mM,01,0.05589999999999999
71.8,50min,50mM,01,0.05600000000000001
71.96666666666667,50min,50mM,01,0.05589999999999999
72.13333333333333,50min,50mM,01,0.05600000000000001
72.3,50min,50mM,01,0.05600000000000001
72.46666666666667,50min,50mM,01,0.0563
72.63333333333333,50min,50mM,01,0.05600000000000001
72.8,50min,50mM,01,0.05600000000000001
72.95,50min,50mM,01,0.05600000000000001
73.11666666666667,50min,50mM,01,0.05589999999999999
73.28333333333333,50min,50mM,01,0.05589999999999999
73.45,50min,50mM,01,0.05589999999999999
73.61666666666667,50min,50mM,01,0.0561
73.78333333333333,50min,50mM,01,0.05600000000000001
73.95,50min,50mM,01,0.0561
74.11666666666667,50min,50mM,01,0.0561
74.28333333333333,50min,50mM,01,0.05600000000000001
74.45,50min,50mM,01,0.05589999999999999
74.61666666666667,50min,50mM,01,0.05589999999999999
74.78333333333333,50min,50mM,01,0.0561
74.93333333333334,50min,50mM,01,0.05589999999999999
75.1,50min,50mM,01,0.05589999999999999
75.26666666666667,50min,50mM,01,0.0561
75.43333333333334,50min,50mM,01,0.05600000000000001
75.6,50min,50mM,01,0.05600000000000001
75.76666666666667,50min,50mM,01,0.05600000000000001
75.93333333333334,50min,50mM,01,0.05600000000000001
76.1,50min,50mM,01,0.0561
76.26666666666667,50min,50mM,01,0.0563
76.43333333333334,50min,50mM,01,0.056199999999999986
76.6,50min,50mM,01,0.0561
76.76666666666667,50min,50mM,01,0.056199999999999986
76.93333333333334,50min,50mM,01,0.05639999999999999
77.1,50min,50mM,01,0.056199999999999986
77.25,50min,50mM,01,0.05600000000000001
77.41666666666667,50min,50mM,01,0.0563
77.58333333333333,50min,50mM,01,0.0561
77.75,50min,50mM,01,0.05600000000000001
77.91666666666667,50min,50mM,01,0.0561
78.08333333333333,50min,50mM,01,0.05589999999999999
78.25,50min,50mM,01,0.0561
78.41666666666667,50min,50mM,01,0.056199999999999986
78.58333333333333,50min,50mM,01,0.056199999999999986
78.75,50min,50mM,01,0.056199999999999986
78.91666666666667,50min,50mM,01,0.0561
79.08333333333333,50min,50mM,01,0.05600000000000001
79.23333333333333,50min,50mM,01,0.056199999999999986
79.4,50min,50mM,01,0.055699999999999986
79.56666666666666,50min,50mM,01,0.056199999999999986
79.73333333333333,50min,50mM,01,0.056199999999999986
79.9,50min,50mM,01,0.056199999999999986
80.06666666666666,50min,50mM,01,0.0561
80.23333333333333,50min,50mM,01,0.05600000000000001
80.4,50min,50mM,01,0.0561
80.56666666666666,50min,50mM,01,0.05589999999999999
80.73333333333333,50min,50mM,01,0.0558
80.9,50min,50mM,01,0.05600000000000001
81.06666666666666,50min,50mM,01,0.0561
81.23333333333333,50min,50mM,01,0.05589999999999999
81.38333333333333,50min,50mM,01,0.05589999999999999
81.55,50min,50mM,01,0.0561
81.71666666666667,50min,50mM,01,0.05600000000000001
81.88333333333333,50min,50mM,01,0.0561
82.05,50min,50mM,01,0.0563
82.21666666666667,50min,50mM,01,0.0561
82.38333333333333,50min,50mM,01,0.0561
82.55,50min,50mM,01,0.056199999999999986
82.71666666666667,50min,50mM,01,0.05600000000000001
82.91666666666666,50min,50mM,01,0.056199999999999986
83.05,50min,50mM,01,0.0561
83.21666666666667,50min,50mM,01,0.0561
83.36666666666667,50min,50mM,01,0.0561
83.53333333333333,50min,50mM,01,0.0561
83.7,50min,50mM,01,0.056199999999999986
83.86666666666667,50min,50mM,01,0.056199999999999986
84.03333333333333,50min,50mM,01,0.05650000000000001
84.2,50min,50mM,01,0.056199999999999986
84.36666666666667,50min,50mM,01,0.05639999999999999
84.56666666666666,50min,50mM,01,0.0563
84.7,50min,50mM,01,0.056199999999999986
84.86666666666667,50min,50mM,01,0.05639999999999999
85.03333333333333,50min,50mM,01,0.05650000000000001
85.2,50min,50mM,01,0.05639999999999999
85.36666666666667,50min,50mM,01,0.0561
85.51666666666667,50min,50mM,01,0.056199999999999986
85.68333333333334,50min,50mM,01,0.056199999999999986
